scenario,cam_rmse,imu_rmse,fus_rmse,cam_peak_err,imu_peak_err,fus_peak_err
Ideal,0.003943221662853183,1.156380367641746,0.6317004205503924,0.00289440627922799,2.137053262782724,0.005816203539769305
Camera Noise,0.015975649867704122,1.1579039499597112,0.631333819105325,0.025468075901455833,2.1410276741564758,0.004949707635406253
Camera Occlusion,0.03679375784287161,1.1550521806617375,0.7295326725102609,0.0687219944881231,2.134437617104663,0.008402426744689717
IMU Noise,0.00390743175308549,1.130418759148939,0.6339301907391218,0.009424626434302641,2.0794508773999487,0.02367510401274886
IMU Drift,0.003767877866509172,1.1318455210121883,0.5558218148210348,0.0018369493821787097,2.1012466645287917,0.13320683775227138
Combined Noise,0.01814527547123117,1.150773227062661,0.6187380504936633,0.0010297206867569964,2.1220892244567318,0.08739768337723886
Severe Dropout,0.03726594946380948,1.1524890795795681,0.721220819656667,0.07091415229837472,2.1332804033491493,0.02813603084103855
Sync Error (Simulated via high noise),0.026282722704849694,1.1682740876233522,0.644060172770679,0.04597226934415022,2.159157571761173,0.005632567312448433
