scenario,mean_innovation,max_innovation,confidence_score,flagged_as_manipulated,ground_truth_manipulated
Genuine attempt,0.06609434932277637,1.4119467593115809,33.90565067722363,True,False
Video timing manipulation,0.06586018534900565,1.42147857854252,34.13981465099435,True,True
Artificially extended hang time,0.06620869489936655,1.43019988744539,33.79130510063345,True,True
Altered visual trajectory,0.0688593269153127,1.4200677560051922,31.140673084687307,True,True
IMU/video disagreement,0.08349912335831515,1.3460188014226473,16.500876641684854,True,True
